Jmag,Hmag,Kmag,sptype,na,ca,hind,[Fe/H]
8.72,9.85,9.49,M3V ,6.28,4.35,0.95,0.23
7.79,8.99,8.48,M5V      ,5.09,2.7,0.86,0.05
7.26,8.57,7.64,M3V      ,3.52,2.46,0.92,-0.35
7.1,7.87,7.64,M4V      ,4.7,3.83,0.9,-0.03
7.59,9.17,8.08,M4V    ,4.7,3.95,0.91,-0.03
8.24,9.72,9.05,M3V ,6.17,4.79,0.92,0.22
8.62,9.67,8.68,M3V ,3.89,2.96,0.93,-0.24
7.61,8.11,7.61,M5V    ,5.84,4.22,0.88,0.18
8.04,9.97,9.18,M6V ,5.63,2.36,0.83,0.15
6.82,8.63,8.1,M4V      ,5.3,4.11,0.91,0.09
7.74,8.78,7.83,M3V    ,5.68,4.92,0.96,0.16
7.16,8.09,7.59,M4V    ,5.87,4.36,0.89,0.19
6.8,8.35,7.59,M4V    ,5.72,3.99,0.89,0.16
8.38,8.97,8.44,M4V      ,6.1,3.02,0.89,0.21
7.03,8.13,7.2,M5V ,2.77,1.65,0.85,-0.61
7.89,9.26,8.56,M4V    ,4.17,3.11,0.88,-0.16
8.01,9.38,8.93,M3V    ,6.9,4.4,0.91,0.28
7.77,8.78,8.42,M4V    ,5.64,3.03,0.86,0.15
9.04,9.77,9.27,M5V      ,3.36,1.94,0.86,-0.4
6.11,7.01,6.78,M4V      ,5.4,3.79,0.86,0.11
8.78,9.97,9.44,M4V ,4.63,2.62,0.87,-0.04
